cid,text,time,author,channel,votes,photo,heart
UgzDDofmjsNpc0_aCmx4AaABAg,Can we all just take a moment to appreciate how quickly Noah gets to the point and the fact that I've never had to use 2x speed on his videos?,1 年前,Roll with Rory,UCBOeZpZyxZMr6SDxoaP4w0Q,163,https://yt3.ggpht.com/ytc/AKedOLS9o5R0RpD7c7tHSfVY3hbATSfZVU8sCt80NrCB=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAkXwpoWQvO-MmUu14AaABAg,"""What do most people have wrong about passive income?

It is never passive."" 👏👏👏",1 年前,Pablo Gutierrez,UCIckyPvguZdHRZC9rztqjFg,111,https://yt3.ggpht.com/ytc/AKedOLR7AUA59poXOXDmN1GWgYc0RCFweeQZgRZGKJdGlg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-yeN0J6jqJNAhEF54AaABAg,"Really helpful, and great to hear someone being so honest about how much they make and how much time and effort goes into passive income",1 年前,Susan Hill,UCkzo6Fd8GWdBAsslWAbmAJA,4,https://yt3.ggpht.com/ytc/AKedOLTA-DxCG1fCYRcLKyFONz99mo_fFzjlF0yy=s176-c-k-c0x00ffffff-no-rj,0.0
UgyI589GoSuMqEPji294AaABAg,I love how transparent Noah is! He's talking about passive income but he does tell you that in order to get there it's not passive at all. 💯,1 年前,Iconic Ape,UCRNv2cx7W8Gw_ZwhhdgeMzA,11,https://yt3.ggpht.com/-J_HG3a3TZsSFE2Vo82xQHsSCr5JNTdCkOy5-ywjMFE6sA8swHDcjPE9wt9Pn_CcFdkNQJrT5os=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQRvgBmV70hGPTRxJ4AaABAg,"Thank you Noah, as always a super useful video. It feels like it's taking forever to build up a passive income portfolio. So far I have published a book on amazon, I own a fitness studio in Cleveland Ohio, I have a dividend and growth stock portfolio as well as cryptos... but it takes forever to build it all and see any results. I just stared a supplement line that I made because I believe my clients deserve the better than whats out there... hope that will create some passive income if I market it correctly. Trying to do everything you teach brother 💪🔥",1 年前,Bo Skitsko - Stay Sore Fitness,UCM_B7QnSW4aBovuPW9YmeqQ,2,https://yt3.ggpht.com/NL7OLXjBs6-4iC2AnLbxV9dyHtletbqHn7mj_0TpURyj7cVfyvfoKRz5DdHLFLibfgVwe7aixw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdCYMrxI1yA03XWRx4AaABAg,"I'm a developer and currently about 100% of my income is still based on hourly labor. 
Frankly, I can't seem to find any niche or business idea that isn't already a thing times 50 existing companies. My best prospects for passive income is making a bit of profit on providing hosting or other common web services to my clients with a little markup, but that isn't very sustainable.
Second problem is that my business is at a weird juncture where there is plenty of work to keep me busy, but not enough to warrant hiring someone.
I've begun a Roth IRA and have some crypto holdings but there is a long way to go for that route.
I'm not the type to try and be some internet influencer and try to captivate audiences and grow a following, I don't do anything special enough for people to want to follow me for it.

I can't be alone in this, there are a lot of us out there just wishing we had a decent idea to build on.",1 年前,vigilantezack,UCmUzdJaEoy9SyW6Rdq32KgA,5,https://yt3.ggpht.com/ytc/AKedOLQ7ahO_UWhhsds8qu2gQZUqYOlH-FkQBgoqccvi=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPU7hrQPu0Q6kAYRR4AaABAg,"To be most effective in sales today, it’s imperative to drop your ‘sales’ mentality and start working with your prospects as if they’ve already hired you. Great video, Noah. Keep up the work!!",1 年前,Freedom Guider - Make Money Online,UCaa1nkIHXHtyAdAL3IMkhDA,1,https://yt3.ggpht.com/Y5GRt4XHJtozaSN-eoNJ3_STkB0_J9rL6ZpGtRAeYbdqhAmB_E9tkQyvZijSgDxTg3yZLfl-iZQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyEZEERyGck-1_SFfR4AaABAg,"I would definitely not call Crypto investing a ""passive income"". But well, maybe there are many other definitions of what is passive. Good video Noah!",1 年前,Small Business Hacks,UC8yhTQFPyl3_6i8RLMGTXZQ,5,https://yt3.ggpht.com/ytc/AKedOLQJixHzubdjkVub7iPqcd-1sJcEYI_5mIplkm5FHw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxsq1N_5ujOEBVu6q14AaABAg,"So grateful for these videos Noah.
Huge thanks to yourself & your team for making them ✨",1 年前,Matt Ross,UCBiw2jHHH37mNY87Jdj-ytQ,2,https://yt3.ggpht.com/ytc/AKedOLStK1SfSuanoLLsXGreo-UC7gvGnlknMK8uvuahwA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMxTgpayQPQewuUCp4AaABAg,"I love your honest take on passive income. It bothers me that so many people act as if you can make money with no effort. It takes A LOT of effort to build a business or any gig that can eventually run on its own. Even then, you still need to do maintenance. A massive advantage that is not usually talked about is having an audience. If you have an audience, it is easier to get some of these smaller projects off the ground. A lot of people fail because they try to sell an e-book with no audience. 

With my business where we create videos and photos for consumer brands, it is doing very well, but now I am focusing on building my Youtube channel so that I can build an audience and create products that align with my audience.",1 年前,Matthew Gattozzi,UCItAZv80w_2CCse1BV3qF3A,1,https://yt3.ggpht.com/ytc/AKedOLT2YoOu8bv7s9aIcq4nCqRmtZwEbQl-qE4QgXN3gg=s176-c-k-c0x00ffffff-no-rj,0.0
